Козлова Елена Александровна 20 female 3 6.4 
Попова Алина Николаевна 21 female 3 7.7 
Иванова Ольга Ивановна 25 female 5 5.8 
Смирнов Кирилл Георгиевич 19 male 2 6.8 
Морозова Полина Георгиевна 21 female 1 6.2 
Петров Николай Васильевич 21 male 2 7.6 
Новиков Николай Викторович 21 male 2 8 
Кузнецов АртЄм Николаевич 20 male 2 4.7 
Новиков Николай Николаевич 21 male 1 8.8 
Лебедев Максим Викторович 24 male 5 7 
Смирнов Сергей Александрович 19 male 2 8.4 
Новиков Дмитрий Алексеевич 24 male 4 6.8 
Кузнецова Ольга Георгиевна 20 female 3 5 
Кузнецова Инна Ивановна 19 female 1 5.1 
Соколова Валерия Ивановна 22 female 5 7.6 
Иванова Валерия Ивановна 23 female 3 6.8 
Лебедева Инна Васильевна 24 female 4 7.8 
Кузнецова Ольга Владимировна 24 female 4 9.2 
Козлов Кирилл Васильевич 18 male 1 6.3 
Иванова Ирина Николаевна 20 female 3 7.6 
Морозов Николай Иванович 24 male 5 7.3 
Петрова Александра Николаевна 22 female 2 9.1 
Лебедев Алексей Васильевич 22 male 3 6.7 
Смирнова Алина Георгиевна 20 female 3 5.8 
Иванов Кирилл Васильевич 24 male 4 5 
Иванова Александра Васильевна 20 female 1 6 
Кузнецов Дмитрий Иванович 22 male 4 5.2 
Козлова Валерия Васильевна 22 female 3 7.8 
Петрова Александра Владимировна 23 female 4 5.8 
Новикова Ирина Георгиевна 19 female 1 4.4 
